n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
27,3,5,5,2,47,1.2743637561798096,398,0.11143851280212402,10,0.2050948143005371
27,4,5,6,2,59,1.477635383605957,715,0.17496323585510254,28,0.8597736358642578
27,5,5,7,2,71,1.8091802597045898,881,0.24662542343139648,140,3.317406415939331
27,6,5,8,2,86,2.348590135574341,760,0.2182917594909668,344,6.230281352996826
27,7,5,9,2,55,1.6603009700775146,500,0.13091707229614258,28,1.563603162765503
27,8,5,10,2,80,2.2657933235168457,1116,0.32567429542541504,188,6.7320640087127686
28,1,5,3,2,39,0.944521427154541,288,0.07712650299072266,32,0.2048642635345459
28,2,5,4,2,63,1.3692433834075928,686,0.1733996868133545,101,0.5116074085235596
28,3,5,5,2,38,1.0000340938568115,236,0.0717000961303711,21,0.08445620536804199
28,4,5,6,2,57,1.41752290725708,683,0.16102218627929688,82,2.512152910232544
28,5,5,7,2,89,2.0161941051483154,1310,0.37888026237487793,314,32.309138774871826
28,6,5,8,2,53,1.574615478515625,376,0.1198875904083252,36,0.5754094123840332
28,7,5,9,2,62,1.9814977645874023,413,0.15282893180847168,20,0.5991265773773193
28,8,5,10,2,83,2.4871175289154053,1150,0.30759739875793457,266,8.390424728393555
29,1,5,3,2,33,0.8834903240203857,180,0.06079292297363281,10,0.0886075496673584
29,2,5,4,2,40,1.0498642921447754,341,0.08787131309509277,24,0.26998138427734375
29,3,5,5,2,74,1.622196912765503,1092,0.23651671409606934,384,6.415607213973999
29,4,5,6,2,42,1.3210222721099854,300,0.09112334251403809,10,0.16727709770202637
29,5,5,7,2,59,1.6297025680541992,689,0.20584487915039062,49,2.2442283630371094
29,6,5,8,2,52,1.5871758460998535,384,0.11627483367919922,38,0.13840985298156738
29,7,5,9,2,58,1.923778772354126,627,0.17414426803588867,78,2.513181686401367
29,8,5,10,2,47,1.6429612636566162,344,0.1221005916595459,12,0.14555716514587402
30,1,5,3,2,34,0.8528327941894531,200,0.06456565856933594,3,0.03628802299499512
30,2,5,4,2,47,1.0280046463012695,381,0.0993504524230957,10,0.18610000610351562
30,3,5,5,2,50,1.3017284870147705,472,0.12052345275878906,100,0.8743529319763184
30,4,5,6,2,54,1.3452732563018799,495,0.13924098014831543,14,1.0795633792877197
30,5,5,7,2,83,1.922562837600708,1179,0.31961703300476074,324,9.033399820327759
30,6,5,8,2,60,1.6833653450012207,638,0.17715716361999512,100,0.7665393352508545
30,7,5,9,2,52,1.6912801265716553,444,0.14442968368530273,29,0.2845602035522461
30,8,5,10,2,46,1.6994450092315674,320,0.10311698913574219,6,0.12594938278198242
31,1,5,3,2,46,1.0929360389709473,336,0.09846138954162598,5,0.17843914031982422
31,2,5,4,2,37,1.0668060779571533,230,0.07097291946411133,12,0.07691121101379395
31,3,5,5,2,39,1.1190452575683594,268,0.09293913841247559,4,0.16162848472595215
31,4,5,6,2,37,1.1750407218933105,242,0.07195568084716797,20,0.19685721397399902
31,5,5,7,2,53,1.5534284114837646,469,0.11333370208740234,54,0.8303894996643066
31,6,5,8,2,53,1.4317145347595215,466,0.11859369277954102,15,0.14844012260437012
31,7,5,9,2,90,2.3711678981781006,1083,0.29280591011047363,70,0.6522445678710938
31,8,5,10,2,92,2.5991532802581787,1456,0.45744967460632324,116,4.983814477920532
32,1,5,3,2,42,1.0225024223327637,292,0.08625912666320801,44,0.33691954612731934
32,2,5,4,2,40,1.0994017124176025,285,0.08244967460632324,8,0.1074216365814209
32,3,5,5,2,57,1.4072508811950684,622,0.16918110847473145,48,0.921616792678833
32,4,5,6,2,63,1.449035406112671,675,0.17804765701293945,48,0.9162437915802002
32,5,5,7,2,73,1.8556244373321533,712,0.2263939380645752,7,0.5487120151519775
32,6,5,8,2,56,1.7882983684539795,520,0.15482521057128906,43,0.5604889392852783
32,7,5,9,2,55,1.719252347946167,519,0.14170122146606445,63,0.3974447250366211
32,8,5,10,2,112,3.2356393337249756,1542,0.38058900833129883,1199,84.15821766853333
33,1,5,3,2,39,0.9553699493408203,290,0.08053374290466309,8,0.24414396286010742
33,2,5,4,2,51,1.2044694423675537,349,0.09764456748962402,32,0.783916711807251
33,3,5,5,2,41,1.149949550628662,323,0.0935056209564209,6,0.1618492603302002
